voltage,current
0.204,6.501e-07
0.208,6.33e-07
0.212,6.2e-07
0.216,6.09e-07
0.22,6.008e-07
0.224,5.933e-07
0.228,5.867e-07
0.232,5.816e-07
0.236,5.763e-07
0.24,5.721e-07
0.244,5.676e-07
0.248,5.64e-07
0.252,5.607e-07
0.256,5.578e-07
0.26,5.547e-07
0.264,5.521e-07
0.268,5.493e-07
0.272,5.467e-07
0.276,5.442e-07
0.28,5.415e-07
0.284,5.39e-07
0.288,5.367e-07
0.292,5.344e-07
0.296,5.322e-07
0.3,5.301e-07
0.304,5.282e-07
0.308,5.26e-07
0.312,5.24e-07
0.316,5.221e-07
0.32,5.2e-07
0.324,5.177e-07
0.328,5.159e-07
0.332,5.142e-07
0.336,5.126e-07
0.34,5.103e-07
0.344,5.092e-07
0.348,5.077e-07
0.352,5.061e-07
0.356,5.046e-07
0.36,5.034e-07
0.364,5.024e-07
0.368,5.014e-07
0.372,5.003e-07
0.376,4.994e-07
0.38,4.989e-07
0.384,4.981e-07
0.388,4.975e-07
0.392,4.966e-07
0.396,4.967e-07
0.4,4.962e-07
0.404,4.963e-07
0.408,4.964e-07
0.412,4.966e-07
0.416,4.969e-07
0.42,4.98e-07
0.424,4.99e-07
0.428,5.006e-07
0.432,5.023e-07
0.436,5.044e-07
0.44,5.073e-07
0.444,5.107e-07
0.448,5.146e-07
0.452,5.19e-07
0.456,5.237e-07
0.46,5.297e-07
0.464,5.359e-07
0.468,5.428e-07
0.472,5.508e-07
0.476,5.588e-07
0.48,5.68e-07
0.484,5.775e-07
0.488,5.881e-07
0.492,5.994e-07
0.496,6.119e-07
0.5,6.247e-07
0.504,6.388e-07
0.508,6.538e-07
0.512,6.692e-07
0.516,6.849e-07
0.52,7.021e-07
0.524,7.192e-07
0.528,7.364e-07
0.532,7.539e-07
0.536,7.712e-07
0.54,7.877e-07
0.544,8.038e-07
0.548,8.19e-07
0.552,8.327e-07
0.556,8.444e-07
0.56,8.541e-07
0.564,8.613e-07
0.568,8.659e-07
0.572,8.685e-07
0.576,8.678e-07
0.58,8.647e-07
0.584,8.583e-07
0.588,8.501e-07
0.592,8.403e-07
0.596,8.279e-07
0.6,8.148e-07
0.604,8.002e-07
0.608,7.853e-07
0.612,7.7e-07
0.616,7.544e-07
0.62,7.4e-07
0.624,7.266e-07
0.628,7.127e-07
0.632,7.002e-07
0.636,6.888e-07
0.64,6.787e-07
0.644,6.697e-07
0.648,6.615e-07
0.652,6.549e-07
0.656,6.493e-07
0.66,6.451e-07
0.664,6.418e-07
0.668,6.406e-07
0.672,6.399e-07
0.676,6.405e-07
0.68,6.426e-07
0.684,6.456e-07
0.688,6.505e-07
0.692,6.565e-07
0.696,6.637e-07
0.7,6.729e-07
