voltage,current
-0.596,8.637e-07
-0.592,8.18e-07
-0.588,7.822e-07
-0.584,7.518e-07
-0.58,7.245e-07
-0.576,7.012e-07
-0.572,6.77e-07
-0.568,6.638e-07
-0.564,6.474e-07
-0.56,6.331e-07
-0.556,6.193e-07
-0.552,6.073e-07
-0.548,5.953e-07
-0.544,5.844e-07
-0.54,5.752e-07
-0.536,5.658e-07
-0.532,5.577e-07
-0.528,5.495e-07
-0.524,5.415e-07
-0.52,5.352e-07
-0.516,5.285e-07
-0.512,5.224e-07
-0.508,5.167e-07
-0.504,5.116e-07
-0.5,5.064e-07
-0.496,5.02e-07
-0.492,4.975e-07
-0.488,4.935e-07
-0.484,4.901e-07
-0.48,4.866e-07
-0.476,4.825e-07
-0.472,4.816e-07
-0.468,4.783e-07
-0.464,4.755e-07
-0.46,4.73e-07
-0.456,4.707e-07
-0.452,4.702e-07
-0.448,4.685e-07
-0.444,4.665e-07
-0.44,4.653e-07
-0.436,4.637e-07
-0.432,4.619e-07
-0.428,4.607e-07
-0.424,4.598e-07
-0.42,4.594e-07
-0.416,4.59e-07
-0.412,4.581e-07
-0.408,4.583e-07
-0.404,4.583e-07
-0.4,4.587e-07
-0.396,4.596e-07
-0.392,4.605e-07
-0.388,4.619e-07
-0.384,4.641e-07
-0.38,4.652e-07
-0.376,4.677e-07
-0.372,4.698e-07
-0.368,4.726e-07
-0.364,4.757e-07
-0.36,4.794e-07
-0.356,4.826e-07
-0.352,4.865e-07
-0.348,4.912e-07
-0.344,4.952e-07
-0.34,5.006e-07
-0.336,5.052e-07
-0.332,5.113e-07
-0.328,5.171e-07
-0.324,5.238e-07
-0.32,5.314e-07
-0.316,5.406e-07
-0.312,5.501e-07
-0.308,5.619e-07
-0.304,5.753e-07
-0.3,5.898e-07
-0.296,6.064e-07
-0.292,6.245e-07
-0.288,6.444e-07
-0.284,6.664e-07
-0.28,6.908e-07
-0.276,7.155e-07
-0.272,7.423e-07
-0.268,7.688e-07
-0.264,7.955e-07
-0.26,8.215e-07
-0.256,8.45e-07
-0.252,8.666e-07
-0.248,8.835e-07
-0.244,8.959e-07
-0.24,9.014e-07
-0.236,9.021e-07
-0.232,8.956e-07
-0.228,8.84e-07
-0.224,8.656e-07
-0.22,8.413e-07
-0.216,8.128e-07
-0.212,7.811e-07
-0.208,7.473e-07
-0.204,7.104e-07
-0.2,6.734e-07
-0.196,6.366e-07
-0.192,6.012e-07
-0.188,5.674e-07
-0.184,5.357e-07
-0.18,5.067e-07
-0.176,4.809e-07
-0.172,4.589e-07
-0.168,4.389e-07
-0.164,4.223e-07
-0.16,4.084e-07
-0.156,3.97e-07
-0.152,3.872e-07
-0.148,3.793e-07
-0.144,3.729e-07
-0.14,3.674e-07
-0.136,3.636e-07
-0.132,3.599e-07
-0.128,3.571e-07
-0.124,3.555e-07
-0.12,3.538e-07
-0.116,3.527e-07
-0.112,3.516e-07
-0.108,3.511e-07
-0.104,3.503e-07
-0.1,3.498e-07
-0.096,3.497e-07
-0.092,3.501e-07
-0.088,3.499e-07
-0.084,3.502e-07
-0.08,3.506e-07
-0.076,3.509e-07
-0.072,3.515e-07
-0.068,3.523e-07
-0.064,3.528e-07
-0.06,3.537e-07
-0.056,3.547e-07
-0.052,3.555e-07
-0.048,3.568e-07
-0.044,3.582e-07
-0.04,3.596e-07
-0.036,3.607e-07
-0.032,3.627e-07
-0.028,3.644e-07
-0.024,3.664e-07
-0.02,3.682e-07
-0.016,3.705e-07
-0.012,3.731e-07
-0.008,3.751e-07
-0.004,3.78e-07
0.0,3.803e-07
